phase,signature,dataset,model_type,width_factor,depth,poison_ratio,poison_type,alpha,data_ordering,aggregator,batch_size,mean_test_acc,std_test_acc,mean_test_loss,std_test_loss,mean_val_acc,std_val_acc,mean_val_loss,std_val_loss,num_parameters,best_epoch,seed
exp1_vary_width,mnist|lr|1|1|0.75|label_flip|100.0|shuffle|fedavg|128|42,mnist,lr,1,1,0.75,label_flip,100.0,shuffle,fedavg,128,0.0974,0.0,2.302126131439209,0.0,0.0995,0.0,2.583883852005005,0.0,807,0,42
exp1_vary_width,mnist|lr|1|1|0.75|random_noise|100.0|shuffle|fedavg|128|42,mnist,lr,1,1,0.75,random_noise,100.0,shuffle,fedavg,128,0.1135,0.0,2.3020180671691897,0.0,0.111,0.0,2.302593895594279,0.0,807,4,42
exp1_vary_width,mnist|lr|1|1|1.0|label_flip|100.0|shuffle|fedavg|128|42,mnist,lr,1,1,1.0,label_flip,100.0,shuffle,fedavg,128,0.0974,0.0,2.3040264778137205,0.0,0.0995,0.0,2.4185789381663003,0.0,807,0,42
exp1_vary_width,mnist|cnn|64|16|0.5|random_noise|100.0|shuffle|fedavg|128|42,mnist,cnn,64,16,0.5,random_noise,100.0,shuffle,fedavg,128,0.9601,0.0,0.7667661929130554,0.0,0.9715,0.0,1.0265618076324463,0.0,557258,35,42
exp1_vary_width,mnist|lr|1|1|1.0|random_noise|100.0|shuffle|fedavg|128|42,mnist,lr,1,1,1.0,random_noise,100.0,shuffle,fedavg,128,0.0982,0.0,2.3029131103515623,0.0,0.0995,0.0,2.462497858047485,0.0,807,0,42
exp1_vary_width,mnist|lr|1|4|0.0|label_flip|100.0|shuffle|fedavg|128|42,mnist,lr,1,4,0.0,label_flip,100.0,shuffle,fedavg,128,0.1135,0.0,2.301034833145142,0.0,0.111,0.0,2.3012167441050213,0.0,819,3,42
exp1_vary_width,mnist|cnn|64|16|0.75|label_flip|100.0|shuffle|fedavg|128|42,mnist,cnn,64,16,0.75,label_flip,100.0,shuffle,fedavg,128,0.8449,0.0,1.2610905420303344,0.0,0.8868333333333334,0.0,1.7193345413208008,0.0,557258,38,42
exp1_vary_width,mnist|lr|1|4|0.0|random_noise|100.0|shuffle|fedavg|128|42,mnist,lr,1,4,0.0,random_noise,100.0,shuffle,fedavg,128,0.1135,0.0,2.3010129085540774,0.0,0.111,0.0,2.3013025290171307,0.0,819,3,42
exp1_vary_width,mnist|lr|1|4|0.25|label_flip|100.0|shuffle|fedavg|128|42,mnist,lr,1,4,0.25,label_flip,100.0,shuffle,fedavg,128,0.1135,0.0,2.301308699417114,0.0,0.111,0.0,2.3010361938476565,0.0,819,5,42
exp1_vary_width,mnist|cnn|64|16|0.75|random_noise|100.0|shuffle|fedavg|128|42,mnist,cnn,64,16,0.75,random_noise,100.0,shuffle,fedavg,128,0.8988,0.0,1.3654890226364136,0.0,0.8885,0.0,1.3785117343266804,0.0,557258,25,42
exp1_vary_width,mnist|lr|1|4|0.25|random_noise|100.0|shuffle|fedavg|128|42,mnist,lr,1,4,0.25,random_noise,100.0,shuffle,fedavg,128,0.1135,0.0,2.301328294754028,0.0,0.1726666666666666,0.0,3.0929844360351564,0.0,819,0,42
exp1_vary_width,mnist|cnn|64|16|1.0|label_flip|100.0|shuffle|fedavg|128|42,mnist,cnn,64,16,1.0,label_flip,100.0,shuffle,fedavg,128,0.0892,0.0,2.3059746719360352,0.0,0.1046666666666666,0.0,2.3313170579274494,0.0,557258,9,42
